latitude,longitude
-39.64461306,176.6683031
-39.64526639,176.6669214
-39.645725,176.6661097
-39.64634139,176.664945
-39.64689639,176.6626981
-39.64659972,176.6619647
-39.64573,176.6617964
-39.63675639,176.6778831
-39.63624639,176.6796514
-39.620955,176.689815
-39.62045306,176.6903564
-39.60803972,176.7195481
-39.60649806,176.7212331
-39.60596139,176.7217464
-39.60514639,176.7224564
-39.60459306,176.7229164
-39.60292972,176.7241847
-39.60237472,176.7245081
-39.60154139,176.7249281
-39.60069306,176.7253531
-39.60012972,176.7256714
-39.59899,176.726355
-39.59817472,176.7268881
-39.597655,176.7272964
-39.59619306,176.7287397
-39.59519,176.73002
-39.59344472,176.7353047
-39.59314472,176.7362664
-39.59287139,176.7372014
-39.59269639,176.7378264
-39.59221639,176.739415
-39.59194639,176.7403681
-39.59176639,176.7410214
-39.59107806,176.7433281
-39.59052639,176.7457514
-39.59100972,176.7750214
-39.59192472,176.7744314
-39.592765,176.7739114
-39.59286139,176.7735664
-39.59290639,176.7731831
-39.59278306,176.7727131
-39.59230639,176.7726164
-39.59183306,176.7728781
-39.59144139,176.773355
-39.59134806,176.7739031
-39.59124639,176.7737964
-39.59134639,176.7739181
-39.59136139,176.7739264
-39.59138306,176.7743831
-39.59138306,176.7745231
-39.59139972,176.77451
-39.59112139,176.7744364
-39.59112306,176.7747797
-39.59112306,176.7747814
-39.59108306,176.77486
-39.590595,176.769875
-39.59061806,176.7709264
-39.59647639,176.8429564
-39.59649639,176.8431631
-39.59655,176.8436731
-39.59653639,176.8442931
-39.59651139,176.8445964
-39.59649,176.8450214
-39.59885972,176.8517331
-39.59899472,176.85232
-39.59927,176.8534631
-39.60150306,176.86874
-39.60143806,176.8695881
-39.60051306,176.8721247
-39.59991972,176.8730181
-39.59831139,176.8756247
-39.59776472,176.8765731
-39.59639139,176.8787364
-39.59241472,176.8852314
-39.58882472,176.88737
-39.58853139,176.8877931
-39.58822806,176.8881814
-39.57973472,176.897045
-39.57935806,176.8974281
-39.57898139,176.8978081
-39.57822306,176.8985531
-39.57728306,176.8994747
-39.57652806,176.900235
-39.57577806,176.9010031
-39.57506,176.9017531
-39.57386639,176.9030681
-39.57324306,176.9038531
-39.57152306,176.9064164
-39.570905,176.9075814
-39.57033806,176.9088081
-39.56983639,176.910025
-39.56913139,176.91195
-39.56883639,176.9136531
-39.56885806,176.9153447
-39.56047306,176.9208081
-39.56002972,176.9208414
-39.55975972,176.9208981
-39.55924639,176.9211864
-39.55890806,176.9215181
-39.55861139,176.9219464
-39.56344972,176.9230447
-39.56371806,176.923975
-39.56382,176.9242864
-39.56465806,176.9263964
-39.56504139,176.92726
-39.56543139,176.92811
-39.56610139,176.9295297
-39.567485,176.9317431
-39.568305,176.9321881
-39.56921639,176.9319197
-39.569845,176.93141
-39.57013472,176.9309231
-39.56832806,176.9283147
-39.56728306,176.92817
-39.56621806,176.9280297
-39.56414306,176.9277647
-39.56365806,176.9276831
-39.56318139,176.9275897
-39.56247972,176.927445
-39.56013639,176.9267981
-39.55923806,176.9264664
-39.53318806,176.9192597
-39.53205139,176.9185247
-39.38749139,176.8202331
-39.38778639,176.82151
-39.39178472,176.8353864
-39.39203139,176.8379364
-39.393605,176.88267
-39.39631806,176.8850931
-39.39631806,176.8850931
-39.39709,176.8861964
-39.39596306,176.8882981
-39.39507472,176.8882
-39.39458472,176.8876397
-39.39437639,176.8870964
-39.39418639,176.8857747
-39.54412956,176.9133086
-39.53885486,176.9080387
-39.54363381,176.9087887
-39.53984208,176.9148124
-39.53884014,176.9048816
-39.54253014,176.9184713
-39.53951345,176.9174266
-39.54228372,176.9050211
-39.54245003,176.9155681
-39.5417177,176.9170737
